,cpu,ram,gpu,gpu_mem
956,102.4,325898240,17,412
957,103.4,325898240,17,412
958,99.5,325898240,17,412
959,90.1,325898240,17,412
960,102.3,325898240,17,412
961,105.3,325898240,16,412
962,104.0,325898240,16,412
963,100.7,325898240,16,412
964,90.0,325898240,17,412
965,108.2,325898240,17,412
966,95.8,325898240,17,412
967,104.0,325898240,16,412
968,93.3,325898240,16,412
969,107.1,325898240,16,412
970,101.7,325898240,16,412
971,89.9,325898240,16,412
972,95.7,325898240,16,412
973,109.7,325898240,16,412
974,101.8,325898240,16,412
975,93.2,325898240,16,412
976,93.8,325898240,17,412
977,114.2,325898240,17,412
978,102.4,325898240,17,412
979,90.4,325898240,18,412
980,98.2,325898240,18,412
981,110.6,325898240,18,412
982,96.5,325898240,18,412
983,90.4,325898240,18,412
984,105.5,325898240,18,412
985,96.9,325898240,18,412
986,110.7,325898240,18,412
987,98.3,325898240,18,412
988,87.9,325898240,18,412
989,106.9,325898240,18,412
990,107.4,325898240,18,412
991,94.7,325898240,17,412
992,104.1,325898240,17,412
